dt,open,high,low,close
2017-09-01 00:00:00,4743.94,4765.49,4743.93,4765.49
2017-09-01 01:00:00,4765.49,4781.96,4765.49,4773.97
2017-09-01 02:00:00,4773.97,4773.97,4760.04,4766.47
2017-09-01 03:00:00,4766.47,4773.5,4751.73,4756.66
2017-09-01 04:00:00,4756.66,4756.66,4715.79,4715.8
2017-09-01 05:00:00,4715.8,4746.34,4715.79,4720.29
2017-09-01 06:00:00,4720.29,4732.07,4706.0,4732.07
2017-09-01 07:00:00,4733.78,4742.91,4733.77,4742.91
2017-09-01 08:00:00,4742.91,4789.0,4742.9,4789.0
2017-09-01 09:00:00,4789.0,4795.25,4788.99,4793.01
2017-09-01 10:00:00,4793.01,4800.0,4790.01,4800.0
2017-09-01 11:00:00,4800.0,4822.0,4771.96,4822.0
2017-09-01 12:00:00,4822.0,4867.27,4821.0,4857.03
2017-09-01 13:00:00,4857.03,4874.99,4831.11,4831.11
2017-09-01 14:00:00,4831.11,4838.05,4790.0,4822.49
2017-09-01 15:00:00,4822.49,4839.95,4815.0,4839.88
2017-09-01 16:00:00,4839.88,4840.0,4830.0,4830.34
2017-09-01 17:00:00,4830.34,4844.99,4830.33,4844.94
2017-09-01 18:00:00,4844.94,4845.88,4835.67,4838.5
2017-09-01 19:00:00,4838.5,4875.98,4830.0,4871.83
2017-09-01 20:00:00,4871.83,4920.0,4853.37,4883.69
2017-09-01 21:00:00,4883.69,4887.59,4842.0,4869.99
2017-09-01 22:00:00,4869.99,4894.31,4869.98,4894.31
2017-09-01 23:00:00,4893.21,4948.0,4893.06,4947.99
2017-09-02 00:00:00,4948.0,4962.0,4929.07,4931.76
2017-09-02 01:00:00,4931.76,4974.81,4930.0,4967.32
2017-09-02 02:00:00,4967.32,4980.0,4885.14,4915.19
2017-09-02 03:00:00,4915.19,4935.84,4823.93,4830.57
2017-09-02 04:00:00,4830.58,4880.51,4830.47,4850.01
2017-09-02 05:00:00,4850.01,4850.01,4551.08,4628.11
2017-09-02 06:00:00,4635.58,4774.99,4606.19,4768.1
2017-09-02 07:00:00,4768.1,4824.51,4733.37,4769.9
2017-09-02 08:00:00,4769.9,4770.0,4672.89,4749.64
2017-09-02 09:00:00,4749.64,4752.68,4635.0,4698.92
2017-09-02 10:00:00,4698.91,4750.0,4650.0,4749.46
2017-09-02 11:00:00,4749.46,4764.79,4749.46,4750.65
2017-09-02 12:00:00,4750.65,4767.4,4651.01,4702.71
2017-09-02 13:00:00,4702.71,4723.91,4684.9,4704.0
2017-09-02 14:00:00,4704.0,4704.0,4500.0,4600.0
2017-09-02 15:00:00,4600.04,4650.94,4520.0,4639.18
2017-09-02 16:00:00,4636.9,4673.0,4593.03,4624.0
2017-09-02 17:00:00,4624.0,4690.0,4620.0,4675.0
